Sonstiges; Integration der Commerce Lösung zu anderen Cloud Anwendungen und von unseren Kunden gehosteten Anwendungen, über z. B. APIs zu ERP Backends, Integrations-Middleware, Payment Systemen, Content Delivery Networks, u.v.m. 
Sonstiges; Mitarbeit in kleinen agilen Softwareentwicklungsteams (3 – 8 Personen) 
Sonstiges; Abgeschlossenes Studium (Wirtschafts-)Informatik, Software-Entwicklung oder vergleichbare Qualifikation
Sonstiges;Agile Softwareentwicklung (z. B. Kanban, Scrum) 
Sonstiges;" Erste Erfahrung in der Softwareentwicklung mit der Programmiersprache Java oder einer anderen objektorientierten Sprache; gerne auch durch Praktika "
Sonstiges; Interesse für Methoden der agilen Softwareentwicklung Softwareentwicklung bei msg nexinsure
Sonstiges;Als Entwickler (m/w/d) von Common Components entwickeln und betreuen Sie wiederverwendbare Softwaremodule, die in vielen verschiedenen Produkten und Entwicklungsbereichen bei dSPACE zum Einsatz kommen. 
Sonstiges; Entwicklung von wiederverwendbaren Softwaremodulen für den Einsatz in unterschiedlichen Produkten unter den Betriebssystemen Microsoft® Windows® und Linux 
Sonstiges; Solide Erfahrung in der Softwareentwicklung mit C# sowie einer Scriptsprache, z. B. Python oder PowerShell
Softwareentwicklung im E-Commerce;Unsere Aufgabe in der E-Com Unit ist es, das Thema E-Commerce und Retail Media voranzubringen sowie unsere internationalen Top Kunden ganzheitlich zu unterstützen und zu beraten. Als Werkstudent beobachtest du neue Trends und Entwicklungen im Bereich E-Commerce. 
Softwareentwicklung im E-Commerce; Du studierst aktuell Online-Marketing, E-Commerce, Betriebswirtschaftslehre, Geisteswissenschaften, Medienwissenschaften oder einen ähnlichen Studiengang
Sonstiges;Bei Sybit gibt es keinen grauen Alltag, kein Geschwafel, das dir das Blaue vom Himmel verspricht.
Softwareentwicklung im E-Commerce;Als Softwareentwickler (m/w/d) im Bereich E-Commerce Dienstleistungen und Softwarelösungen.
Sonstiges;Gegründet 2009, sind wir einer der erfolgreichsten Dienstleister im Bereich Amazon/Ebay Repricing in Deutschland und Europa.
Sonstiges;In diesem namenhaften Unternehmen treiben Sie gemeinsam mit deren Entwickler-Team das Wachstum deren Online-Shops weltweit voran und arbeiten neben der Backend…
Sonstiges;Bei Sybit gibt es keinen grauen Alltag, kein Geschwafel, das dir das Blaue vom Himmel verspricht.
Softwareentwicklung im E-Commerce;Als Softwareentwickler (m/w/d) im Bereich E-Commerce Dienstleistungen und Softwarelösungen.
Sonstiges;Gegründet 2009, sind wir einer der erfolgreichsten Dienstleister im Bereich Amazon/Ebay Repricing in Deutschland und Europa.
Sonstiges;In diesem namenhaften Unternehmen treiben Sie gemeinsam mit deren Entwickler-Team das Wachstum deren Online-Shops weltweit voran und arbeiten neben der Backend…
Sonstiges;Sybit und deine Woche ist Purple!
Softwareentwicklung im E-Commerce;Als Softwareentwickler (m/w/d) im Bereich E-Commerce Dienstleistungen und Softwarelösungen.
Sonstiges;Gegründet 2009, sind wir einer der erfolgreichsten Dienstleister im Bereich Amazon/Ebay Repricing in Deutschland und Europa.
Sonstiges;Für meinen Kunden, einem dynamischen und internationalen Einzelhandelsunternehmen, welches weltweit über 25.000 Mitarbeiter in 50 Ländern beschäftigt, davon…
Sonstiges;Bei Sybit gibt es keinen grauen Alltag, kein Geschwafel, das dir das Blaue vom Himmel verspricht.
Sonstiges;In diesem namenhaften Unternehmen treiben Sie gemeinsam mit deren Entwickler-Team das Wachstum deren Online-Shops weltweit voran und arbeiten neben der Backend…
Softwareentwicklung im E-Commerce;3+ Jahre berufliche Erfahrung als Software-Developer:in mit Java (EE) / Spring - Die codeitlabs GmbH bietet seit knapp 10 Jahren Entwicklungslösungen im E-commerce Bereich für verschiedenste Branchen: von Schmuckwaren, über Chemie bis hin zu Food- und Einzelhandelsindustrie innerhalb der DACH-Region. Mit Hilfe von Java-basierten (Spring, APIs) Commerce Cloud Lösungen wie MACH-Architekturen (microservice | API | Cloud | Headless) „composen“ wir individuelle E-Commerce-Projekte. 
Sonstiges; Integration der Commerce Lösung zu anderen Cloud Anwendungen und von unseren Kunden gehosteten Anwendungen, über z. B. APIs zu ERP Backends, Integrations-Middleware, Payment Systemen, Content Delivery Networks, u.v.m. 
Sonstiges; Mitarbeit in kleinen agilen Softwareentwicklungsteams (3 – 8 Personen) 
Sonstiges; Abgeschlossenes Studium (Wirtschafts-)Informatik, Software-Entwicklung oder vergleichbare Qualifikation
Softwareentwicklung im E-Commerce;Zum nächstmöglichen Termin suchen wir für unseren Hauptsitz in Kempten einen Mitarbeiter (m/w/d) E-Commerce Flüssigkeiten & Pellets. 
Softwareentwicklung im E-Commerce; Affinität für den E-Commerce-Bereich
Sonstiges;Agile Softwareentwicklung (z. B. Kanban, Scrum) 
Sonstiges;" Erste Erfahrung in der Softwareentwicklung mit der Programmiersprache Java oder einer anderen objektorientierten Sprache; gerne auch durch Praktika "
Sonstiges; Interesse für Methoden der agilen Softwareentwicklung Softwareentwicklung bei msg nexinsure
Sonstiges;Dazu analysieren Sie unterschiedliche eCommerce Plattformen (z. B. Kärcher Online-Shop, Kärcher Apps, B2C- und B2B-Online-Marktplätzen wie Amazon und Galaxus). 
Sonstiges; Einschlägige Erfahrung im eCommerce (z. B. als Data Analyst
Sonstiges;in, Data Scientist), praktische Kenntnisse im Performance Marketing sind von Vorteil. 
Sonstiges; Ausgeprägte Affinität zu eCommerce Trends und Technologien, analytische Fähigkeiten sowie Teamgeist in Verbindung mit einer hohen Ergebnisorientierung runden Ihr Profil ab.
Softwareentwicklung im E-Commerce;Als Teil des E-Commerce Teams im Bereich Digital Customer Experience erstellst du Analysen und Reports zu unseren digitalen Produkten und leitest gemeinsam mit den Teams kundenzentrierte Handlungsempfehlungen für unsere Produktentwicklung und Vermarktung ab. 
Softwareentwicklung im E-Commerce; Mehrjährige Berufserfahrung im oben genannten Bereich und sicheres E-Commerce Know-how 
Sonstiges; ad hoc Datenanalysen durchführen sowie Hypothesen und Handlungsempfehlungen für Digital Commerce, den Einkauf und das Marketing ableiten
Softwareentwicklung im E-Commerce;Wir möchten mit innovativen Konzepten, tiefreichendem E-Commerce- und Technologie-Fachwissen den starken Möbelhausmarken unserer Unternehmensgruppe unter die Arme greifen. Genieße die Vorzüge eines inhabergeführten Unternehmens mit kurzen Entscheidungswegen und einem dynamischen eCommerce-Teams mit echtem Startup-Flair und trage mit Deiner Leidenschaft und Deinen Fähigkeiten zum Erfolg des Unternehmens bei. Als Grafik Designer digital / Webdesigner mit dem Schwerpunkt E-Commerce (m/w/d) bist Du für die visuelle Gestaltung unserer dynamischen Onlineshops zuständig. 
Softwareentwicklung im E-Commerce;" Du bist für die Umsetzung von Grafiken und Online-Werbemitteln mit dem Schwerpunkt E-Commerce verantwortlich (Landingpages & Vermarktungsseiten, Banner, Social-Media-Grafiken, Newsletter);"
Softwareentwicklung im E-Commerce;Einführung und Erweiterung von E-Commerce-Reportings. 
Softwareentwicklung im E-Commerce; Erfahrung im Bereich Controlling, E-Commerce oder Wirtschaftsinformatik.
Sonstiges;Management of all assigned e-Commerce channel partner (direct & distribution) to boost sales and profitability for a strong presence of our brand/portfolio on the market 
Sonstiges; By monitoring, analyzing and reporting relevant e-Commerce KPIs, you can derive appropriate, strategic measures per segment/product series/channel partner and identify growth potential 
Sonstiges; Designs and recommends online sales programs and defines short-/mid-/long-term online sales strategies together with the e-Commerce channel partner and internal sales force and stakeholders 
Sonstiges; Steer and support e-Commerce channel partner to improve the appearance of our brands at their marketplace/web shop, etc. 
Sonstiges; Proven track record in sales, best case in Pro-Audio industry and/or i
Sonstiges;Wir entwickeln Software, die dem Menschen dient. Wir bieten Softwarelösungen, Services und Beratung für unsere Kunden und unterstützen Verwaltungen dabei, serviceorientiert und bürgernah zu sein. 
Sonstiges; Du kreierst als Teil unseres Entwicklerteams neue Apps 
Sonstiges; Du übernimmst Verantwortung bei der Neu- und Weiterentwicklung unserer Software für den mobilen Bereich 
Sonstiges; Du setzt komplexe Anforderungen an die Software innerhalb eines agilen Teams um 
Sonstiges; Du hast Freude an agiler Entwicklung für Softwarelösungen von morgen 
Sonstiges; Du zeigst Leidenschaft für die Softwareentwicklung und für hohe Code-Qualität
Sonstiges;Entwicklung von hardwarenaher Software für unsere AURIX Plattform (Low Level Treiber iLLD, AURIX 2nd Gen.) unter Berücksichtigung der funktionalen Sicherheit nach u.a. IEC61508 
Sonstiges; Analyse von Software- und Systemanforderungen (inklusive Safety) 
Sonstiges; Erstellung der Software-Spezifikationen für Basissoftware-Treiber 
Sonstiges; Inbetriebnahme der Software auf der Zielhardware 
Sonstiges; Fundierte Kenntnisse in der Entwicklung hardwarenaher Software (in C) 
Sonstiges; Mehrjährige, einschlägige Erfahrung in der Softwareentwicklung für embedded Systeme (idealerweise AURIX und Multicore) 
Sonstiges; Fundierte Kenntnisse in der Entwicklung von Software-Architekturen für komplexe Use-Cases und vielfältige Software-Schnittstellen
Softwareentwicklung im E-Commerce;REWE E-Commerce bündelt alle Onlinegeschäfte unter einem Dach, wir entwickeln das beste Gesamtkonzept zur Belieferung von Kunden mit Online-Bestellungen von Lebensmitteln und Heimtierbedarf. 
Sonstiges; Du behältst den Überblick: Deine Büroorganisation stellt einen reibungslosen Tagesablauf sicher, indem Du ein proaktives E-Mail-, Kalender- und Reise-Management betreibst. 
Sonstiges; Persönliche Weiterbildung: Mit umfassenden Seminarangeboten, fachspezifischen Akademien und E-Learnings.
Softwareentwicklung im E-Commerce;3+ Jahre berufliche Erfahrung als Software-Developer:in mit Java (EE) / Spring - Die codeitlabs GmbH bietet seit knapp 10 Jahren Entwicklungslösungen im E-commerce Bereich für verschiedenste Branchen: von Schmuckwaren, über Chemie bis hin zu Food- und Einzelhandelsindustrie innerhalb der DACH-Region. Mit Hilfe von Java-basierten (Spring, APIs) Commerce Cloud Lösungen wie MACH-Architekturen (microservice | API | Cloud | Headless) „composen“ wir individuelle E-Commerce-Projekte. 
Sonstiges; Integration der Commerce Lösung zu anderen Cloud Anwendungen und von unseren Kunden gehosteten Anwendungen, über z. B. APIs zu ERP Backends, Integrations-Middleware, Payment Systemen, Content Delivery Networks, u.v.m. 
Sonstiges; Mitarbeit in kleinen agilen Softwareentwicklungsteams (3 – 8 Personen) 
Sonstiges; Abgeschlossenes Studium (Wirtschafts-)Informatik, Software-Entwicklung oder vergleichbare Qualifikation
Softwareentwicklung im E-Commerce;Zum nächstmöglichen Termin suchen wir für unseren Hauptsitz in Kempten einen Mitarbeiter (m/w/d) E-Commerce Flüssigkeiten & Pellets. 
Softwareentwicklung im E-Commerce; Affinität für den E-Commerce-Bereich
Sonstiges;Agile Softwareentwicklung (z. B. Kanban, Scrum) 
Sonstiges;" Erste Erfahrung in der Softwareentwicklung mit der Programmiersprache Java oder einer anderen objektorientierten Sprache; gerne auch durch Praktika "
Sonstiges; Interesse für Methoden der agilen Softwareentwicklung Softwareentwicklung bei msg nexinsure
Sonstiges;Dazu analysieren Sie unterschiedliche eCommerce Plattformen (z. B. Kärcher Online-Shop, Kärcher Apps, B2C- und B2B-Online-Marktplätzen wie Amazon und Galaxus). 
Sonstiges; Einschlägige Erfahrung im eCommerce (z. B. als Data Analyst
Sonstiges;in, Data Scientist), praktische Kenntnisse im Performance Marketing sind von Vorteil. 
Sonstiges; Ausgeprägte Affinität zu eCommerce Trends und Technologien, analytische Fähigkeiten sowie Teamgeist in Verbindung mit einer hohen Ergebnisorientierung runden Ihr Profil ab.
Softwareentwicklung im E-Commerce;Als Teil des E-Commerce Teams im Bereich Digital Customer Experience erstellst du Analysen und Reports zu unseren digitalen Produkten und leitest gemeinsam mit den Teams kundenzentrierte Handlungsempfehlungen für unsere Produktentwicklung und Vermarktung ab. 
Softwareentwicklung im E-Commerce; Mehrjährige Berufserfahrung im oben genannten Bereich und sicheres E-Commerce Know-how 
Sonstiges; ad hoc Datenanalysen durchführen sowie Hypothesen und Handlungsempfehlungen für Digital Commerce, den Einkauf und das Marketing ableiten
Softwareentwicklung im E-Commerce;Wir möchten mit innovativen Konzepten, tiefreichendem E-Commerce- und Technologie-Fachwissen den starken Möbelhausmarken unserer Unternehmensgruppe unter die Arme greifen. Genieße die Vorzüge eines inhabergeführten Unternehmens mit kurzen Entscheidungswegen und einem dynamischen eCommerce-Teams mit echtem Startup-Flair und trage mit Deiner Leidenschaft und Deinen Fähigkeiten zum Erfolg des Unternehmens bei. Als Grafik Designer digital / Webdesigner mit dem Schwerpunkt E-Commerce (m/w/d) bist Du für die visuelle Gestaltung unserer dynamischen Onlineshops zuständig. 
Softwareentwicklung im E-Commerce;" Du bist für die Umsetzung von Grafiken und Online-Werbemitteln mit dem Schwerpunkt E-Commerce verantwortlich (Landingpages & Vermarktungsseiten, Banner, Social-Media-Grafiken, Newsletter);"
Softwareentwicklung im E-Commerce;Einführung und Erweiterung von E-Commerce-Reportings. 
Softwareentwicklung im E-Commerce; Erfahrung im Bereich Controlling, E-Commerce oder Wirtschaftsinformatik.
Sonstiges;Management of all assigned e-Commerce channel partner (direct & distribution) to boost sales and profitability for a strong presence of our brand/portfolio on the market 
Sonstiges; By monitoring, analyzing and reporting relevant e-Commerce KPIs, you can derive appropriate, strategic measures per segment/product series/channel partner and identify growth potential 
Sonstiges; Designs and recommends online sales programs and defines short-/mid-/long-term online sales strategies together with the e-Commerce channel partner and internal sales force and stakeholders 
Sonstiges; Steer and support e-Commerce channel partner to improve the appearance of our brands at their marketplace/web shop, etc. 
Sonstiges; Proven track record in sales, best case in Pro-Audio industry and/or i
Sonstiges;Wir entwickeln Software, die dem Menschen dient. Wir bieten Softwarelösungen, Services und Beratung für unsere Kunden und unterstützen Verwaltungen dabei, serviceorientiert und bürgernah zu sein. 
Sonstiges; Du kreierst als Teil unseres Entwicklerteams neue Apps 
Sonstiges; Du übernimmst Verantwortung bei der Neu- und Weiterentwicklung unserer Software für den mobilen Bereich 
Sonstiges; Du setzt komplexe Anforderungen an die Software innerhalb eines agilen Teams um 
Sonstiges; Du hast Freude an agiler Entwicklung für Softwarelösungen von morgen 
Sonstiges; Du zeigst Leidenschaft für die Softwareentwicklung und für hohe Code-Qualität
Sonstiges;Entwicklung von hardwarenaher Software für unsere AURIX Plattform (Low Level Treiber iLLD, AURIX 2nd Gen.) unter Berücksichtigung der funktionalen Sicherheit nach u.a. IEC61508 
Sonstiges; Analyse von Software- und Systemanforderungen (inklusive Safety) 
Sonstiges; Erstellung der Software-Spezifikationen für Basissoftware-Treiber 
Sonstiges; Inbetriebnahme der Software auf der Zielhardware 
Sonstiges; Fundierte Kenntnisse in der Entwicklung hardwarenaher Software (in C) 
Sonstiges; Mehrjährige, einschlägige Erfahrung in der Softwareentwicklung für embedded Systeme (idealerweise AURIX und Multicore) 
Sonstiges; Fundierte Kenntnisse in der Entwicklung von Software-Architekturen für komplexe Use-Cases und vielfältige Software-Schnittstellen
Softwareentwicklung im E-Commerce;REWE E-Commerce bündelt alle Onlinegeschäfte unter einem Dach, wir entwickeln das beste Gesamtkonzept zur Belieferung von Kunden mit Online-Bestellungen von Lebensmitteln und Heimtierbedarf. 
Sonstiges; Du behältst den Überblick: Deine Büroorganisation stellt einen reibungslosen Tagesablauf sicher, indem Du ein proaktives E-Mail-, Kalender- und Reise-Management betreibst. 
Sonstiges; Persönliche Weiterbildung: Mit umfassenden Seminarangeboten, fachspezifischen Akademien und E-Learnings.
Sonstiges;Bei Sybit gibt es keinen grauen Alltag, kein Geschwafel, das dir das Blaue vom Himmel verspricht.
Softwareentwicklung im E-Commerce;Als Softwareentwickler (m/w/d) im Bereich E-Commerce Dienstleistungen und Softwarelösungen.
Sonstiges;Gegründet 2009, sind wir einer der erfolgreichsten Dienstleister im Bereich Amazon/Ebay Repricing in Deutschland und Europa.
Sonstiges;In diesem namenhaften Unternehmen treiben Sie gemeinsam mit deren Entwickler-Team das Wachstum deren Online-Shops weltweit voran und arbeiten neben der Backend…
Sonstiges; Entwicklung von wiederverwendbaren Softwaremodulen für den Einsatz in unterschiedlichen Produkten unter den Betriebssystemen Microsoft® Windows® und Linux 
Sonstiges; Solide Erfahrung in der Softwareentwicklung mit C# sowie einer Scriptsprache, z. B. Python oder PowerShell
Sonstiges;Wir suchen für unsere Abteilung Automation IT and Software Development der Temperature & Pressure Sensors Business Group für den Standort Berlin Zehlendorf, Deutschland ab sofort einen Software-Entwickler für den Batch-Abgleich (w/m/d). 
Sonstiges; In Ihrer neuen Rolle sind Sie als Software-Entwickler für den Batch-Abgleich tätig. 
Sonstiges; Sie unterstützen bei Problemen von Software in der Produktion.
Sonstiges;Du integrierst die Software-Komponenten zu einer Gesamt-Software, nimmst diese auf dem Steuergerät in Betrieb, stellst grundlegende Funktionalitäten sicher und bereitest die Auslieferungen vor 
Sonstiges; Dabei verantwortest du die Softwareschnittstellen von unserer neuesten Generation der Off Road Robotics Steuergeräte 
Sonstiges; Du definierst die Integrationsstrategie und planst die Integrationsschritte für Software-Releases. 
Sonstiges; Deine Rolle ist es, gemeinsam mit deinen die Verfügbarkeit und Qualität der Software sicher zu stellen 
Sonstiges; Erfahrung und Know-how: Erfahrungen in agiler Softwareentwicklung und ein gutes Verständnis von embedded Software, Fundierte Linux Programmiererfahrung und Erfahrungen mit Continuous Integration und Continuous Testing, Erfahrung von Architek
Sonstiges;Außerdem arbeitest du in agilen Entwicklungsteams mit internen und externen Entwicklern, Produktmanagern und Anwendern, um funktionale Bedürfnisse in komplexe, technische Lösungsräume zu überführen. 
Sonstiges; Ausbildung: abgeschlossenes Studium der Informatik / Software Engineering oder eine vergleichbare Qualifikation. 
Sonstiges; Erfahrung und Know-how: Erfahrungen in agiler Softwareentwicklung, einschlägige Berufserfahrung, idealerweise Erfahrung im Betrieb komplexer IT Systeme, Linux, Containerisierung, Software-Paketmanagement (Debian, snap), Systemadministration, Compiler, Kenntnisse in Linux, Grundlagen in Netzwerk-Technologien, Softwareentwicklungsprozesse und -Umgebungen, Kenntnisse / Verständnis von Linux-Lösungen/QNX, ROS2, AI-Toolchains sind von Vorteil,
Sonstiges;Analyse, Konzeption sowie Programmierung von Software-Produkten in SAP Anwendungsentwicklung oder in objektorientierten Hochsprachen (C#, Java, C++) 
Sonstiges; Neu- und Weiterentwicklung unserer innovativen Software-Produktpalette 
Sonstiges; Du treibst Software-Architekturentscheidungen von der Idee bis zur Implementierung und Integration auf der Zielhardware voran 
Softwareentwicklung im Bankensektor; Du hast praktische Erfahrung in der Programmierung mit Datenbanksprachen (z. B. SQL) und Datenbankoberflächen
Sonstiges;Hierbei steht die Entwicklung der eigenen Anwendungssysteme sowie die Anpassung und Einbindung verschiedenster Standardsoftwareprodukte im Fokus. 
Sonstiges; Entwicklung und Konzeption von modernen Softwarelösungen (Web, App und Desktop-Anwendungen)
Sonstiges;Sie erhalten die Möglichkeit, mit unserer Software Plattform ZEN neueste Kenntnisse der Softwareentwicklung der alltäglichen Arbeiten einzusetzen und dadurch die Funktionsfähigkeit unserer Elektronen-Mikroskope für die weltweite Forschung stetig zu erweitern. 
Sonstiges; die Entwicklung neuer Funktionen und Komponenten im Backend und der Applikationssoftware für unsere Elektronenmikroskope 
Sonstiges; die Konzeption, Spezifikation und das Design der Ansteuerung von komplexen Mikroskop-Komponenten in enger Kooperation mit unseren Software- und Firmware-Entwicklungsteams sowie unseren externen Partnern 
Sonstiges; Berufseinsteiger mit Leidenschaft für Softwareentwicklung im industriellen Umfeld oder Young Professionals mit Erfahrung in Softwareprodukten für komplexe Instrumente
Sonstiges;Die Gastro-MIS GmbH in Gräfelfing bei München ist Spezialist für Software- und Servicelösungen im Bereich ERP für Gastronomie und Hotellerie. 
