Sonstiges;Unseren ausgezeichneten Ruf verdanken wir unserem ganzheitlichen Leistungsspektrum aus einfallsreicher strategischer Beratung und intelligenten, nachhaltig wertschöpfenden IT-Lösungen für eine Vielzahl von Branchen. 
Sonstiges; Große Leidenschaft für die Softwareentwicklung und Administration von IT-Systemen
Softwareentwicklung für Cloud-Lösungen;Du entwickelst innovative cloud-basierte Lösungsansätze auf Basis der neuesten SAP-Produkte zum Auf- und Ausbau kundenspezifischer E-Commerce-Lösungen. 
Sonstiges; Durch deine langjährige Erfahrung in der Software-Entwicklung bist du insbesondere in der Software-Architektur und Web-Technologien zuhause und bringst ein tiefes technisches Verständnis vor allem des Java Technologiestack mit. 
Sonstiges; Du brennst für unsere technisch anspruchsvollen Lösungen und hast den Blick für das große Ganze.
Softwareentwicklung für Cloud-Lösungen;msg life ist seit mehr als 40 Jahren der führende Anbieter von Software, Beratung und Cloud-Lösungen für Versicherungsunternehmen. beim führenden Anbieter von Software, Beratung und Cloudlösungen für Versicherungsunternehmen - Unsere Software hilft Versicherungen in mehr als 30 Ländern dabei, die Verträge ihrer Kunden problemlos zu verwalten. Wir suchen zum nächstmöglichen Zeitpunkt eine neue Mitarbeiterin oder einen neuen Mitarbeiter als Softwareentwickler Java / Spring / Cloud Services (m/w/d) 
Sonstiges; Als Teil unseres agilen Teams entwickelst Du in mittleren bis großen IT-Projekten Branchenlösungen auf Basis von Java 
Softwareentwicklung für Cloud-Lösungen; Du testest und betreibst unsere innovativen Anwendungen in Cloud-Umgebungen (Kubernetes) 
Sonstiges; Du integriers
Softwareentwicklung für Cloud-Lösungen;Wir suchen eine:n motivierte:n Cloud Solution Architect (d/m/w), für den Betrieb und die Weiterentwicklung unserer Intrexx PaaS und Trial-Systeme. Erfolg in dieser Rolle setzt Eigeninitiative, Neugier und lösungsorientiertes Denken voraus. 
Softwareentwicklung für Cloud-Lösungen; Beratung bzgl. Intrexx in der Cloud für große Kunden und Partner. 
Softwareentwicklung für Cloud-Lösungen; Evaluierung und Umsetzung neuer Cloud-Technologien. 
Softwareentwicklung für Cloud-Lösungen; Unterstützung anderer Teams bei Fragen zu Cloud-Themen. 
Softwareentwicklung für Cloud-Lösungen; Erfahrung mit Cloud-Technologien (Kubernetes, Docker). 
Softwareentwicklung für Cloud-Lösungen; Abwechslungsreiche Aufgaben mit viel Gestaltungsspielraum in einem hochtechnologischen Cloud-Umfeld. 
Sonstiges; Entwicklungsmöglichkeiten in einem Top-Softwareunternehmen mit offener, zielorientierter Kultur und flachen Hierarchien.
Sonstiges;Fokussiert auf den Versicherungsbereich bieten wir IT-Lösungen und -Beratungsleistungen rund um die Digitalisierung der Versicherungsbranche an. bei einem der führenden Anbieter für IT-Lösungen und Consulting in der Versicherungsbranche 
Sonstiges; Agile Softwareentwicklung (z. B. Kanban, Scrum) 
Sonstiges;" Erste Erfahrung in der Softwareentwicklung mit der Programmiersprache Java oder einer anderen objektorientierten Sprache; gerne auch durch Praktika "
Sonstiges; Interesse für Methoden der agilen Softwareentwicklung Softwareentwicklung bei msg nexinsure
Sonstiges;Du stellst die Basis unserer Softwarelösungen sicher, indem du Datenbanken, Server-Applikationen und technische Schnittstellen analysierst und weiterentwickelst - Wir sind auf der Suche nach Mitarbeitenden, die eigene Ideen und Impulse einbringen – sei es in unsere Arbeitsprozesse oder Softwarelösungen. Fokussiert auf den Versicherungsbereich bieten wir IT-Lösungen und -Beratungsleistungen rund um die Digitalisierung der Versicherungsbranche an. bei einem der führenden Anbieter für IT-Lösungen und Consulting in der Versicherungsbranche - Insurance Suite – unserer Komplettlösung für einen vollständig digitalisierten Versicherungsbetrieb für unsere Kunden im deutschsprachigen Raum 
Sonstiges; Kenntnisse im Bereich Analyse und Design von objektorientierten Softwaresystemen (OOA, O
Softwareentwicklung für Cloud-Lösungen;Mehrjährige Berufserfahrung in der Softwareentwicklung im Cloud-Umfeld und in der Umsetzung von Cloud-Infrastrukturlösungen unter Beachtung von Sicherheits- und Compliancestandards 
Softwareentwicklung für Cloud-Lösungen; Idealerweise Zertifizierungen in Cloud-Technologien und -Lösungen in der Azure / Microsoft-Domäne sowie technisches Verständnis moderner IT-Architekturen zur Nutzung von Cloud-Lösungen Als Senior Solution Architect (w/m/d) übernimmst du als technische Projektleitung die fachliche Führung eines agilen Entwicklerteams und sorgst für einen reibungslosen Projektablauf über alle Phasen der Entwicklung hinweg – von der strategischen Roadmap und Anforderungsanalyse über Design, Implementierung und Test bis hin zur Produktivsetzung. 
Sonstiges; Gekonnt ana
Sonstiges;Als Entwickler (m/w/d) von Common Components entwickeln und betreuen Sie wiederverwendbare Softwaremodule, die in vielen verschiedenen Produkten und Entwicklungsbereichen bei dSPACE zum Einsatz kommen. Jeden Tag nutzen Menschen auf der ganzen Welt Verkehrsmittel, die mit dSPACE Lösungen entwickelt, getestet und validiert wurden. 
Sonstiges; Entwicklung von wiederverwendbaren Softwaremodulen für den Einsatz in unterschiedlichen Produkten unter den Betriebssystemen Microsoft® Windows® und Linux 
Sonstiges; Solide Erfahrung in der Softwareentwicklung mit C# sowie einer Scriptsprache, z. B. Python oder PowerShell
Sonstiges;Design und Entwicklung von Reglersoftware für Wärmeanlagen, z. B. Frischwasserstationen, Solarthermie oder Energietechnik 
Sonstiges; Aufgeschlossene Persönlichkeit sowie selbständige und lösungsorientierte Arbeitsweise
Softwareentwicklung für Cloud-Lösungen;Diese vertrauen auf unsere PC- und Cloud-Lösungen sowie mobilen Apps und rechnen damit beispielsweise monatlich rund 14 Millionen Lohnabrechnungen ab. 
Softwareentwicklung für Cloud-Lösungen; Sie begeistern sich für Projektarbeit zur Entwicklung innovativer betriebswirtschaftlicher Software mit modernen Technologien und Methoden und haben mehrere Jahre Erfahrung als Entwickler Wir sind einer der größten Software- und IT-Dienstleister Europas mit Hauptsitz in Nürnberg. Sie nutzen agile Entwicklungsmethoden und innovativen Technologien zur Entwicklung einer neuen Generation von Cloud-Anwendungen.
Softwareentwicklung für Cloud-Lösungen;mehrjährige Berufserfahrung in der Entwicklung von Cloud-Software, Erfahrung mit Azure-Cloud-Technologien im Data Analytics-Umfeld 
Softwareentwicklung für Cloud-Lösungen; Als Softwareentwickler:in sowie Data Engineer verantworten Sie die Umsetzung von skalierbaren Data Analytics und AI Use Cases im Fertigungsumfeld basierend auf unserer standardisierten Cloud-Datenplattform. 
Sonstiges; Sie implementieren neue Softwareanwendungen, die zugrundeliegenden Data Pipelines, Datenmodelle und sorgen hierbei für eine entsprechende Datenbereinigung sowie Datenintegration unter Nutzung von State-of-the-Art Technologien. 
Softwareentwicklung für Cloud-Lösungen; Ausbildung: erfolgreich abgeschlossenes Studium der Fachrichtung (Wirtschafts-)Informatik, Wirtschaftsingenieurwesen oder vergleichbar, idealerweise mit einem Bezug zu Cloud-Computing/Datenplattformen
Sonstiges;Als Global Player sorgen wir bei SEW-EURODRIVE für Bewegung: mit wegweisenden Technologien und maßgeschneiderten Lösungen in der Antriebs- und Automatisierungstechnik. 
Sonstiges; Integration der Software sowie Programmierung der Schnittstellen zwischen Anlage und Peripheriegeräten 
Sonstiges; Erstellung der Softwaredokumentation 
Sonstiges; Umsetzung und Inbetriebnahme der Automatisierungslösungen und der zugehörigen Betriebsmittel, sowie Durchführung von Schulungen 
Sonstiges; Erfahrung in der Programmierung von SPS-Steuerungen sowie Kenntnisse in WINCC, SPS-Softwaretools und industriellen Feldbussystemen
Softwareentwicklung für Cloud-Lösungen;Als Softwareentwickler (m/w/d) bei Marbach kümmern Sie sich um die Weiterentwicklung von innovativen IoT- und Cloud-Lösungen für das interne und externe Kundenumfeld. 
Softwareentwicklung für Cloud-Lösungen; Entwicklung von bestehenden und neuen, innovativen Lösungen im IoT- und Cloud-Umfeld - Mit Ihrer zielstrebigen und zukunftsweisenden Art finden Sie sich schnell in neue Sachverhalte ein und finden die passende Lösung. 
Sonstiges; Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik, Software-Engineering oder einer vergleichbaren Ausbildung 
Sonstiges; Fundierte Erfahrungen in der professionellen Softwareentwicklung
Sonstiges;Wir setzten zur Abbildung der Prozesse eine SAP basierende IT-Lösung ein. Die Einführung und der Regelbetrieb dieser Lösungen werden von verschiedenen Teams aktiv begleitet. 
Sonstiges; Analyse, Konzeption sowie Programmierung von Software-Produkten in SAP Anwendungsentwicklung oder in objektorientierten Hochsprachen (C#, Java, C++) 
Sonstiges; Neu- und Weiterentwicklung unserer innovativen Software-Produktpalette 
Sonstiges; Du treibst Software-Architekturentscheidungen von der Idee bis zur Implementierung und Integration auf der Zielhardware voran 
Sonstiges; Du bringst Dich in Konzeption, Entwurf und in der qualifizierten Dokumentation von IT-Lösungen mit ein
Sonstiges;Die sepp.med gmbh ist seit 40 Jahren erfolgreicher Partner in der Softwareentwicklung verschiedener Branchen.
Sonstiges;Sie besitzen ein abgeschlossenes Studium der (Wirtschafts-) Informatik, eine abgeschlossene Ausbildung zum Fachinformatiker (m/w/d) oder idealerweise eine…
Sonstiges;Zum nächstmöglichen Zeitpunkt suchen wir dich als Softwareentwickler:in Java für die Mobilität der Zukunft (w/m/d) für die DB Systel GmbH am Standort Frankfurt…
Sonstiges;Wir suchen aktuell für mehrere Kunden mit Hauptsitz in Berlin erfahrene Fullstack / Backend Softwareentwickler im Bereich Java, JavaScript, RoR, Kotlin, GO oder…
Softwareentwicklung für Cloud-Lösungen;Scrum Master Cloud Lösungen und Big Data (m/w/d) gesucht!
Sonstiges;Du bist versiert im Umgang mit CI/CD-Pipelines und hast eine Affinität für Automatisierungen jeglicher Art.
Sonstiges;NTT DATA gehört zu den weltweit führenden Dienstleistern für Business- und IT-Lösungen.
Sonstiges;Durch die langjährige Erfahrung und das umfassende Know-How unseres Entwicklungsteams sorgen wir immer für eine erfolgreiche und passende Lösung.
Sonstiges;Wir bieten Ihnen die Möglichkeit mobil zu arbeiten und einen Teil der Arbeit flexibel und innerhalb Deutschlands ortsunabhängig (remote) zu erledigen.
Sonstiges;Mein Mandant ist ein führendes, wachstumsorientiertes Tech-Unternehmen im Marketing-Umfeld und geprägt von Innovationen.
Softwareentwicklung für Cloud-Lösungen;Wir zählen bundesweit zu einem der führenden Anbieter für die Planung, Implementierung und Betreuung von IT-Infrastrukturen, Managed Services und Cloud Lösungen…
