Model Beschreibung;F1-Score Micro;F1-Score Macro;MCC
Classic Textclassfikation mit Modell: BERT , einer Lernrate von '0.0004' und einer Epochen-Anzahl von 1;0.3765182186234818;0.13676470588235293;0.3765182186234818
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '0.0004' und einer Epochen-Anzahl von 10;0.9185185185185185;0.911851068827813;0.9185185185185185
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '4e-05' und einer Epochen-Anzahl von 10;0.4666666666666667;0.1590909090909091;0.4666666666666667
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '4e-06' und einer Epochen-Anzahl von 10;0.4296296296296296;0.4088480376043653;0.4296296296296296
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '0.0004' und einer Epochen-Anzahl von 10;0.6814814814814815;0.6134858853721129;0.6814814814814815
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '4e-05' und einer Epochen-Anzahl von 10;0.4000000000000001;0.21063492063492065;0.4000000000000001
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '4e-06' und einer Epochen-Anzahl von 10;0.20000000000000004;0.1886833450786939;0.20000000000000004
Classic Textclassfikation mit Modell: BERT , einer Lernrate von '0.0004' und einer Epochen-Anzahl von 10;0.38056680161943324;0.1378299120234604;0.38056680161943324
Classic Textclassfikation mit Modell: RoBERTa , einer Lernrate von '0.0004' und einer Epochen-Anzahl von 10;0.38056680161943324;0.1378299120234604;0.38056680161943324
Classic Textclassfikation mit Modell: BERT , einer Lernrate von '4e-05' und einer Epochen-Anzahl von 10;0.9838056680161943;0.982992539375518;0.9838056680161943
Classic Textclassfikation mit Modell: RoBERTa , einer Lernrate von '4e-05' und einer Epochen-Anzahl von 10;0.9757085020242915;0.979364773625839;0.9757085020242915
Classic Textclassfikation mit Modell: BERT , einer Lernrate von '4e-06' und einer Epochen-Anzahl von 10;0.9109311740890689;0.8893946150352432;0.9109311740890689
Classic Textclassfikation mit Modell: RoBERTa , einer Lernrate von '4e-06' und einer Epochen-Anzahl von 10;0.951417004048583;0.9471506419985646;0.951417004048583
