Model Description;F1-Score Micro;F1-Score Macro;MCC
Zero-Shot mit Modell: 'deepset/gbert-large';0.41960784313725485;0.3290867551208073;0.10779514510174475
Zero-Shot mit Modell: 'xlm-roberta-large';0.2823529411764706;0.22274805615192717;-0.021929301239663745
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '1e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6745098039215687;0.20140515222482436;0.0
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '2e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6745098039215687;0.21936903888481293;0.06847006977103823
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '3e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6745098039215687;0.20140515222482436;0.0
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '0.0004'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6745098039215687;0.20140515222482436;0.0
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '4e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6745098039215687;0.20140515222482436;0.0
Few-Shot mit Modell: 'deepset/gbert-large', Lernrate: '4e-06'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.21176470588235294;0.16735419540950708;0.006820661198368158
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '1e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.3058823529411765;0.19367654628051367;-0.025623114221792618
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '2e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.30196078431372547;0.1840059683378325;-0.06785629369924294
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '3e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.5215686274509804;0.20281316310145098;-0.01174468624425465
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '0.0004'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.6078431372549019;0.1890243902439024;0.0
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '4e-05'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.5607843137254902;0.19455128205128205;-0.02218905180432155
Few-Shot mit Modell: 'xlm-roberta-large', Lernrate: '4e-06'und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten;0.3137254901960784;0.19827008829094506;-0.044643919095301014
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.8410852713178295;0.7473630126002266;0.6724012977475159
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.8178294573643411;0.705777665317139;0.6326990511003426
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.8294573643410853;0.7878419452887538;0.6980857706496787
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.686046511627907;0.20344827586206898;0.0
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '4e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.7868217054263565;0.725242914979757;0.6301226314753903
Multi-Class Textclassfikation mit Modell: BERT , Lernrate: '4e-06' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.755813953488372;0.3748115577889447;0.4154591399102715
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.7945736434108527;0.654906656841071;0.5812130784626404
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.8062015503875969;0.7280839979418575;0.6362870886581631
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.7945736434108527;0.7084724845880025;0.6050997718580705
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.686046511627907;0.20344827586206898;0.0
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '4e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.8062015503875969;0.7377279431482971;0.6360084698987443
Multi-Class Textclassfikation mit Modell: Modell: RoBERTa , Lernrate: '4e-06' und einer Epochen-Anzahl von '5' und der Verwendung von 50% der verfuegbaren Daten.;0.755813953488372;0.3779166666666667;0.4133757137408598

Zero-Shot mit Modell: 'deepset/gbert-large';0.3588235294117647;0.2742319663494027;0.03706562219141356
Zero-Shot mit Modell: 'xlm-roberta-large';0.2735294117647059;0.2279044070701523;0.011898008775321121
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.6411764705882353;0.19569120287253144;-0.02151704750480607
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.5794117647058824;0.18342644320297952;-0.028807705782990686
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.5823529411764706;0.18401486988847582;0.0
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8000000000000002;0.7098197897547138;0.6057671306455921
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '4e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.65;0.196969696969697;0.0
Few-Shot mit Modell: 'deepset/gbert-large', einer Lernrate von '4e-06' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.5705882352941176;0.21528261919197744;-0.03145287765452257
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.35;0.21787418008348242;-0.03676552699772625
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.538235294117647;0.20660388864408913;-0.0017408187359763756
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.55;0.17775665399239543;-0.08564585698154424
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.6588235294117647;0.24835669596895538;0.1358820007036754
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '4e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.65;0.196969696969697;0.0
Few-Shot mit Modell: 'xlm-roberta-large', einer Lernrate von '4e-06' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.2529411764705882;0.1704271927461147;-0.05277801870885905
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.7507246376811595;0.5302980132450331;0.5348509476508886
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8028985507246377;0.7586731797575069;0.6549692786625697
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8028985507246377;0.7648209348319961;0.6600202376752069
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.6028985507246377;0.18806509945750455;0.0
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '4e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8144927536231884;0.7622728719757077;0.6778597412643088
Multi-Class Textclassfikation mit Modell: BERT , einer Lernrate von '4e-06' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.7246376811594203;0.39937804453723036;0.47116162519439014
Multi-Class Textclassfikation mit Modell: RoBERTa , einer Lernrate von '1e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8231884057971014;0.7869956088168185;0.6938056541037467
Multi-Class Textclassfikation mit Modell: RoBERTa , einer Lernrate von '2e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8260869565217391;0.7902409739184412;0.7007314492906007
Multi-Class Textclassfikation mit Modell: RoBERTa , einer Lernrate von '3e-05' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.8057971014492754;0.7680626872058194;0.6673806162695506
Multi-Class Textclassfikation mit Modell: RoBERTa , einer Lernrate von '0.0004' und einer Epochen-Anzahl von '5' und der Verwendung von 100% der Verfuegbaren Daten.;0.6028985507246377;0.18806509945750455;0.0
